"","starting_trt","ending_trt","emmean","SE","df","lower.CL","upper.CL","trait"
"1","high","high",2.04600247752051,0.249495725080276,20.2734418526597,1.5260131506032,2.56599180443783,"vcmax"
"2","low","high",2.6064439822246,0.233021572723846,18.1662867282188,2.11720483921279,3.09568312523642,"vcmax"
"3","high","low",2.79397888416458,0.233100902422487,18.1662867282188,2.30457318492656,3.28338458340261,"vcmax"
"4","low","low",2.50349977044461,0.217906259309932,16.6142691851394,2.04294331756498,2.96405622332424,"vcmax"
"5","high","high",2.7151000634739,0.220608421873388,20.2734418526598,2.25531653505743,3.17488359189037,"jmax"
"6","low","high",3.19208589954542,0.206041692315658,18.1662867282187,2.75949221392697,3.62467958516387,"jmax"
"7","high","low",3.39296461990107,0.206111837002984,18.1662867282187,2.96022366239567,3.82570557740647,"jmax"
"8","low","low",3.06895772508175,0.192676471579743,16.6142691851394,2.66172576861961,3.47618968154389,"jmax"
"9","high","high",-0.998097724450629,0.0763658422865052,2.41860221436335,-1.27776587828135,-0.718429570619906,"rd"
"10","low","high",-1.2613383075231,0.0750524314228358,2.25660091437912,-1.55150524017151,-0.971171374874687,"rd"
"11","high","low",-0.919989356764249,0.07579887500301,2.34773487276061,-1.20394024151459,-0.636038472013904,"rd"
"12","low","low",-0.907620774058432,0.0748834337565,2.23639219060952,-1.19928460301109,-0.61595694510577,"rd"
"13","high","high",0.0528571428571429,0.0229296701680473,21.8897791251948,0.00529003085831657,0.100424254855969,"phi2"
"14","low","high",0.0893333333333333,0.0204394911149595,16.6608773714749,0.0461428154630513,0.132523851203615,"phi2"
"15","high","low",0.175625,0.0214205317438585,19.6723952324771,0.130894803672858,0.220355196327142,"phi2"
"16","low","low",0.1251,0.0191282556292155,15.6297768763236,0.0844717059157074,0.165728294084293,"phi2"
"17","high","high",0.463,0.040088150613715,21.8897791251951,0.379837986063766,0.546162013936234,"phi"
"18","low","high",0.531444444444444,0.0357345479581299,16.6608773714749,0.455934069773596,0.606954819115293,"phi"
"19","high","low",0.75075,0.0374497101999438,19.6723952324771,0.672547791498881,0.828952208501118,"phi"
"20","low","low",0.6157,0.0334421030490967,15.6297768763236,0.544669184445616,0.686730815554385,"phi"
