"","starting_trt","ending_trt","emmean","SE","df","lower.CL","upper.CL","days_since_first","model","trait"
"1","high","high",2.26787435963012,0.33096114636457,3.395145192309,1.28067274292528,3.25507597633496,0,"vcmax","vcmax"
"2","low","high",3.19748155945966,0.323871099167871,3.11919526450784,2.18870674576181,4.2062563731575,0,"vcmax","vcmax"
"3","high","low",2.75988864523056,0.324046124663231,3.12600140227028,1.75175067981234,3.76802661064879,0,"vcmax","vcmax"
"4","low","low",3.46672897304683,0.320054031453015,2.97575841049771,2.44346399876772,4.48999394732595,0,"vcmax","vcmax"
"5","high","high",1.82138086691274,0.321349136286077,3.01757174241409,0.802065230437888,2.8406965033876,9,"vcmax","vcmax"
"6","low","high",2.62790517055197,0.315801393173517,2.81968619584141,1.58552907590026,3.67028126520368,9,"vcmax","vcmax"
"7","high","low",2.26405299567993,0.315409579566992,2.8056013055492,1.21976202274976,3.30834396861009,9,"vcmax","vcmax"
"8","low","low",2.84671812702012,0.311454348390241,2.6679860161945,1.78196251694437,3.91147373709588,9,"vcmax","vcmax"
"9","high","high",1.42449776227507,0.338249656235767,3.69970316046758,0.45452606717128,2.39446945737887,17,"vcmax","vcmax"
"10","low","high",2.12161504707847,0.322984897270003,3.08394231084951,1.10938089974465,3.1338491944123,17,"vcmax","vcmax"
"11","high","low",1.82331019607936,0.321851685516556,3.04077275423149,0.806760543435554,2.83985984872317,17,"vcmax","vcmax"
"12","low","low",2.29559737499638,0.318821295711625,2.92712321498658,1.26652405036341,3.32467069962935,17,"vcmax","vcmax"
"13","high","high",2.81627160583867,0.306991661001942,3.47417286749145,1.910556875652,3.72198633602534,0,"jmax","jmax"
"14","low","high",3.7710054243962,0.300122362106025,3.17985104536441,2.84572764419358,4.69628320459882,0,"jmax","jmax"
"15","high","low",3.33940504164338,0.300297208372097,3.18733499928186,2.4147291808026,4.26408090248416,0,"jmax","jmax"
"16","low","low",4.01620510392202,0.296572564620617,3.0331693315003,3.07819100718725,4.95421920065678,0,"jmax","jmax"
"17","high","high",2.47685491549039,0.29739245580309,3.05961212081813,1.54076621312472,3.41294361785606,9,"jmax","jmax"
"18","low","high",3.23223308893894,0.292064283396511,2.85178777170004,2.27481945014268,4.18964672773521,9,"jmax","jmax"
"19","high","low",2.88289876333693,0.29167135504283,2.83634225222785,1.92362281681451,3.84217470985936,9,"jmax","jmax"
"20","low","low",3.4370956619274,0.287977539354401,2.69588325928826,2.45926638040434,4.41492494345046,9,"jmax","jmax"
"21","high","high",2.17515119073636,0.314207017465032,3.80727565050798,1.28507785079474,3.06522453067799,17,"jmax","jmax"
"22","low","high",2.75332434631027,0.29923233742575,3.14084325531769,1.82474160334071,3.68190708927982,17,"jmax","jmax"
"23","high","low",2.47711540484232,0.29809809584839,3.09338323689853,1.54443181965206,3.40979899003258,17,"jmax","jmax"
"24","low","low",2.92233171348774,0.295316345470257,2.97867066081909,1.9786846048642,3.86597882211129,17,"jmax","jmax"
"25","high","high",-1.09340776849896,0.106696862241753,2.79360843056005,-1.4476074828138,-0.739208054184113,0,"rd","rd"
"26","low","high",-1.17613255701951,0.105633015879602,2.68619712367346,-1.53565068666829,-0.816614427370739,0,"rd","rd"
"27","high","low",-1.26994496905021,0.105281833677061,2.65074496106754,-1.63141179921844,-0.908478138881973,0,"rd","rd"
"28","low","low",-1.26751153213875,0.105464976711535,2.66916641072506,-1.62795528154172,-0.907067782735777,0,"rd","rd"
"29","high","high",-0.820372129773592,0.105851370744254,2.70608490011085,-1.17891336534758,-0.461830894199598,9,"rd","rd"
"30","low","high",-0.886705212559526,0.104458273974616,2.56872777004317,-1.25305573236515,-0.520354692753906,9,"rd","rd"
"31","high","low",-0.893963520824133,0.10437536854419,2.56058140189103,-1.26082895733335,-0.527098084314921,9,"rd","rd"
"32","low","low",-0.911380924113816,0.104466512368335,2.56945769901598,-1.27768845660118,-0.545073391626456,9,"rd","rd"
"33","high","high",-0.577673784239934,0.108890169918793,3.02978069581005,-0.922291876173461,-0.233055692306406,17,"rd","rd"
"34","low","high",-0.629436461928427,0.10598799757171,2.72227948635487,-0.98706524002833,-0.271807683828523,17,"rd","rd"
"35","high","low",-0.559757789067624,0.105498307091988,2.67242492136457,-0.920026657138989,-0.199488920996258,17,"rd","rd"
"36","low","low",-0.594820383647208,0.105789484191104,2.70189738676371,-0.953510866737188,-0.236129900557227,17,"rd","rd"
"37","high","high",0.0915308857908555,0.0341962352326859,4.58952429542042,0.00120850488371207,0.181853266697999,0,"Phi2","Phi2"
"38","low","high",0.168072668286229,0.0320387594716432,3.5713087988911,0.0747452301200469,0.261400106452411,0,"Phi2","Phi2"
"39","high","low",0.155049767828261,0.0323133317535908,3.69091258221731,0.0622914488282783,0.247808086828244,0,"Phi2","Phi2"
"40","low","low",0.274257179610825,0.0322503365300419,3.6678216295203,0.181425230759337,0.367089128462313,0,"Phi2","Phi2"
"41","high","high",0.0683006924267364,0.0330067436017589,3.99155051408853,-0.0234172759944648,0.160018660847938,9,"Phi2","Phi2"
"42","low","high",0.0940911541958328,0.0313604538073666,3.27748403424731,-0.0010978189316467,0.189280127323312,9,"Phi2","Phi2"
"43","high","low",0.102492399970935,0.0312678163261694,3.24088338513177,0.007040298355612,0.197944501586257,9,"Phi2","Phi2"
"44","low","low",0.165574349282931,0.0316758112679657,3.4125051739841,0.0713227464804984,0.259825952085363,9,"Phi2","Phi2"
"45","high","high",0.0476516316586305,0.0345121756511219,4.78315444543508,-0.0422882180144537,0.137591481331715,17,"Phi2","Phi2"
"46","low","high",0.0283298083377029,0.0319297119700407,3.52281586590195,-0.0652639860927506,0.121923602768156,17,"Phi2","Phi2"
"47","high","low",0.0557747396533112,0.0317561836037728,3.45419842587022,-0.0381703457514483,0.149719825058071,17,"Phi2","Phi2"
"48","low","low",0.0689673889914689,0.0321080377123287,3.60280588163095,-0.0241918226094945,0.162126600592432,17,"Phi2","Phi2"
"49","high","high",0.472220210979095,0.0461591760206458,3.40732507872716,0.334772852298177,0.609667569660013,0,"phi","phi"
"50","low","high",0.60051003451364,0.0442603648443691,2.88732626844533,0.456492555400907,0.744527513626373,0,"phi","phi"
"51","high","low",0.704759921243938,0.0445332229383682,2.95778935200878,0.561884230375996,0.847635612111881,0,"phi","phi"
"52","low","low",0.79925186643354,0.044195127813162,2.87319158103797,0.655025459277593,0.943478273589488,0,"phi","phi"
"53","high","high",0.369619867149653,0.0444534944363893,2.93293883993049,0.226301343578934,0.512938390720373,9,"phi","phi"
"54","low","high",0.489095584653745,0.0431485583281898,2.6075921416118,0.33931373081824,0.63887743848925,9,"phi","phi"
"55","high","low",0.604193738305457,0.0430880111460445,2.59360615759819,0.454074249759445,0.754313226851468,9,"phi","phi"
"56","low","low",0.675260761766181,0.0432327969993485,2.63075838903658,0.526077903548544,0.824443619983818,9,"phi","phi"
"57","high","high",0.278419561523483,0.0472035906448827,3.72949197515037,0.14352594702539,0.413313176021576,17,"phi","phi"
"58","low","high",0.390060518111617,0.0440917602292517,2.84296954695735,0.245252684018617,0.534868352204617,17,"phi","phi"
"59","high","low",0.514801575693473,0.0441175115997042,2.85196705837029,0.370185794148665,0.65941735723828,17,"phi","phi"
"60","low","low",0.565046446506306,0.0439431607339622,2.80764510349233,0.419620101450156,0.710472791562455,17,"phi","phi"
