"elevation_m","ca_ppm","temperature_c","par","vcmax","jmax","phi_psii","e_partitioning_coef","absorbance","photosystem_partitioning_coef","theta","patm_pa","ca_pa","ci_pa","gammastar_pa","km_pa","mc","ac","m","psii_light","j_a","j_b","j_c","j","aj","a","treatment","leaf_age","days_since_first"
0,420,25,1100,2.04600247752051,2.7151000634739,0.0528571428571429,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.512203549843496,0.662033804421178,467.5,0.85,-27.4258143491882,67.0920619256283,2.66671041205757,0.44136310984601,0.410673072683202,"HC","new",NA
0,420,25,1100,2.6064439822246,3.19208589954542,0.0893333333333333,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.652506472905908,0.662033804421178,467.5,0.85,-44.9554192328787,133.312147451349,3.15345228664164,0.521923003596508,0.482826343863139,"LH","new",NA
0,420,25,600,2.50349977044461,3.06895772508175,0.1251,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.626735052153059,0.662033804421178,255,0.85,-34.9694577250817,97.9012859089704,3.02153728454255,0.500089955921535,0.462537459364866,"LC","new",NA
0,420,25,600,2.79397888416458,3.39296461990107,0.175625,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.69945462841822,0.662033804421178,255,0.85,-48.1773396199011,151.951799899382,3.35227957288992,0.55483059978093,0.512920916518461,"HL","new",NA
0,420,25,1100,2.26787435963012,2.81627160583867,0.0915308857908555,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.567747747309337,0.662033804421178,467.5,0.85,-45.6069607130636,120.510202726948,2.78714355326629,0.461295812509211,0.427277697114759,"HC","old",0
0,420,25,1100,1.82138086691274,2.47685491549039,0.0683006924267364,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.455970975548526,0.662033804421178,467.5,0.85,-34.4074286249897,79.0873984468015,2.44640684577198,0.40490100781711,0.377580294813419,"HC","old",9
0,420,25,1100,1.42449776227507,2.17515119073636,0.0476516316586305,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.356613845094473,0.662033804421178,467.5,0.85,-24.4522889911461,48.4561428127593,2.14100436912158,0.354354316942981,0.332986850508855,"HC","old",17
0,420,25,600,3.19748155945966,3.7710054243962,0.168072668286229,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.800468925775256,0.662033804421178,255,0.85,-46.6295358373846,161.619750669029,3.71802807879393,0.615365068487178,0.567402845095283,"LH","old",0
0,420,25,1100,2.62790517055197,3.23223308893894,0.0940911541958328,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.657879143254998,0.662033804421178,467.5,0.85,-47.2198476754908,142.178223370146,3.19470401728544,0.528750513640775,0.489331936082495,"LH","old",9
0,420,25,1100,2.12161504707847,2.75332434631027,0.0283298083377029,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.531132669903658,0.662033804421178,467.5,0.85,-15.9975097441864,36.4655381030192,2.65359131684612,0.439191788717661,0.407367563011484,"LH","old",17
0,420,25,600,3.46672897304683,4.01620510392202,0.274257179610825,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.86787328258359,0.662033804421178,255,0.85,-73.9517859046824,280.875636557765,3.98017665468216,0.658752873241897,0.606751938646195,"LC","old",0
0,420,25,600,2.84671812702012,3.4370956619274,0.165574349282931,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.712657558377231,0.662033804421178,255,0.85,-45.6585547290748,145.119193799938,3.39263147498634,0.561509180596059,0.518808408690758,"LC","old",9
0,420,25,600,2.29559737499638,2.92233171348774,0.0689673889914689,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.574688025749357,0.662033804421178,255,0.85,-20.5090159063123,51.3941249517848,2.84027293137136,0.470089173587568,0.435655212962623,"LC","old",17
0,420,25,600,3.46672897304683,4.01620510392202,0.274257179610825,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.86787328258359,0.662033804421178,255,0.85,-73.9517859046824,280.875636557765,3.98017665468216,0.658752873241897,0.606751938646195,"HL","old",0
0,420,25,600,2.84671812702012,3.4370956619274,0.165574349282931,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.712657558377231,0.662033804421178,255,0.85,-45.6585547290748,145.119193799938,3.39263147498634,0.561509180596059,0.518808408690758,"HL","old",9
0,420,25,600,2.29559737499638,2.92233171348774,0.0689673889914689,4,4,0.5,0.85,101325,42.5565,29.78955,4.332,71.9009017501241,0.250343562860305,0.574688025749357,0.662033804421178,255,0.85,-20.5090159063123,51.3941249517848,2.84027293137136,0.470089173587568,0.435655212962623,"HL","old",17
